Variáável,Descrição da variável,Contagem,Observação,Disponibilidade dos dados,Grupo
ano,Ano da comunicação da ocorrência,,,,DATA
mes,Mês da comunicação da ocorrência,,,,DATA
fase,2 - Consolidado sem errata    3 - Consolidado com errata,,,,DATA
hom_doloso,  Homicídio doloso,vítima,,A partir de 1991,CRIMES VIOLENTOS
lesao_corp_morte,  Lesão corporal seguida de morte,vítima,,A partir de 1999,CRIMES VIOLENTOS
latrocinio,  Latrocínio (roubo seguido de morte),vítima,,A partir de 1991,CRIMES VIOLENTOS
cvli,Crimes violentos letais intencionais,vítima,Homicídio doloso + Lesão corporal seguida de morte + Latrocínio,A partir de 1999,CRIMES VIOLENTOS
hom_por_interv_policial,Morte por intervenção de agente do Estado,vítima,,A partir de 1998,CRIMES VIOLENTOS
letalidade_violenta,  Letalidade violenta,vítima,Homicídio doloso + Lesão corporal seguida de morte + Latrocínio + Morte por intervenção de agente do Estado,A partir de 1991,CRIMES VIOLENTOS
tentat_hom,  Tentativa de homicídio,vítima,,A partir de 1991,CRIMES VIOLENTOS
lesao_corp_dolosa,  Lesão corporal dolosa,vítima,,A partir de 1991,CRIMES VIOLENTOS
estupro,  Estupro,vítima,"Em 2009, o Artigo 214 do Código Penal passou a caracterizar Atentado Violento ao Pudor (AVP) como Estupro. Por isso, antes de 2009, a variável ""estupro"" é na verdade a soma de ""estupro"" e ""AVP"". ",A partir de 2003,CRIMES VIOLENTOS
hom_culposo,  Homicídio culposo (trânsito),vítima,Atropelamento + colisão + outros,A partir de 1998,CRIMES DE TRÂNSITO
lesao_corp_culposa,  Lesão corporal culposa (trânsito),vítima,Atropelamento + colisão + outros,A partir de 1999,
roubo_transeunte,  Roubo a transeunte,caso,,A partir de 1991,ROUBOS
roubo_celular,  Roubo de telefone celular,caso,,A partir de 2000,ROUBOS
roubo_em_coletivo,  Roubo em coletivo,caso,,A partir de 1991,ROUBOS
roubo_rua,Roubo de rua,caso,Roubo a transeunte + Roubo de celular + Roubo em coletivo,A partir de 1991,ROUBOS
roubo_veiculo,  Roubo de veículo,caso,,A partir de 1991,ROUBOS
roubo_carga,  Roubo de carga,caso,,A partir de 1991,ROUBOS
roubo_comercio,  Roubo a estabelecimento comercial,caso,,A partir de 1991,ROUBOS
roubo_residencia,  Roubo a residência,caso,,A partir de 1991,ROUBOS
roubo_banco,  Roubo a banco,caso,,A partir de 1991,ROUBOS
roubo_cx_eletronico,  Roubo de caixa eletrônico,caso,,A partir de 2003,ROUBOS
roubo_conducao_saque,Roubo com condução da vítima para saque em instituição financeira,caso,,A partir de 2003,ROUBOS
roubo_apos_saque,Roubo após saque em instituição financeira,caso,,A partir de 2003,ROUBOS
roubo_bicicleta,Roubo de bicicleta,caso,,A partir de 2015,ROUBOS
outros_roubos,Outros roubos que não os listados acima,caso,Inclui contagem de ocorrências de latrocínio.,A partir de 1991,ROUBOS
total_roubos,Total de roubos,caso,Soma de todos os roubos listados acima.,A partir de 1991,ROUBOS
furto_veiculos,  Furto de veículo,caso,,A partir de 1991,FURTOS
furto_transeunte,Furto a transeunte,caso,,A partir de 1991,FURTOS
furto_coletivo,Furto em coletivo,caso,,A partir de 2003,FURTOS
furto_celular,Furto de telefone celular,caso,,A partir de 2003,FURTOS
furto_bicicleta,Furto de bicicleta,caso,,A partir de 2015,FURTOS
outros_furtos,Outros furtos que não os listados acima,caso,,A partir de 1991,FURTOS
total_furtos,Total de furtos,caso,Soma de todos os furtos listados acima.,A partir de 1991,FURTOS
sequestro,  Extorsão mediante sequestro (sequestro clássico),vítima,,A partir de 1999,OUTROS CRIMES CONTRA O PATRIMÔNIO
extorsao,  Extorsão ,caso,,A partir de 2003,OUTROS CRIMES CONTRA O PATRIMÔNIO
sequestro_relampago,  Extorsão com momentânea privação da liberdade (sequestro relâmpago),vítima,,A partir de 2003,OUTROS CRIMES CONTRA O PATRIMÔNIO
estelionato,  Estelionato,caso,,A partir de 2003,OUTROS CRIMES CONTRA O PATRIMÔNIO
apreensao_drogas,  Apreensão de drogas,caso,"Refere-se à aglutinação dos títulos de Uso/Porte, Tráfico e Apreensão de substância entorpecente.",A partir de 1991,ATIVIDADE POLICIAL
posse_drogas,Número de registros que possuem algum título referente a posse de drogas,caso,"A soma dessas variáveis pode ser maior que o número de registros de apreensão de drogas, pois um mesmo registro pode conter mais de um tipo de apreensão de drogas.",A partir de 2006,ATIVIDADE POLICIAL
trafico_drogas,Número de registros que possuem algum título referente a tráfico de drogas,caso,,A partir de 2006,ATIVIDADE POLICIAL
apreensao_drogas_sem_autor,Número de registros que possuem algum título referente a apreensão de drogas sem autor,caso,,A partir de 2006,ATIVIDADE POLICIAL
recuperacao_veiculos,  Recuperação de veículo,caso,"Refere-se à recuperação de veículos, não necessariamente roubados/furtados durante o mês, e/ou roubados/furtados na mesma área.",A partir de 1991,ATIVIDADE POLICIAL
apf,Auto de Prisão em Flagrante,autor,,A partir de 2006,ATIVIDADE POLICIAL
aaapai,Auto de Apreensão de Adolescente por Prática de Ato Infracional,adolescente infrator,,A partir de 2006,ATIVIDADE POLICIAL
cmp,Cumprimento de Mandado de Prisão,autor,,A partir de 2006,ATIVIDADE POLICIAL
cmba,Cumprimento de Mandado de Busca e Apreensão,adolescente infrator,,A partir de 2006,ATIVIDADE POLICIAL
ameaca,  Ameaça ,vítima,,A partir de 1999,OUTROS REGISTROS
pessoas_desaparecidas,  Pessoas desaparecidas,vítima,,A partir de 2002,OUTROS REGISTROS
encontro_cadaver,  Encontro de cadáver,vítima,,A partir de 1991,OUTROS REGISTROS
encontro_ossada,  Encontro de ossada,vítima,,A partir de 2002,OUTROS REGISTROS
pol_militares_mortos_serv,  Policiais Militares mortos em serviço,vítima,,A partir de 2003,OUTROS REGISTROS
pol_civis_mortos_serv,  Policiais Civis mortos em serviço,vítima,,A partir de 2003,OUTROS REGISTROS
registro_ocorrencias, Registro de ocorrências,caso,Total de registros de ocorrências divulgados no mês,A partir de 1999,REGISTROS DE OCORRÊNCIAS
